"langue_sujet","code_langue_sujet","sujet"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11932512b"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11932823t"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119328694"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11933029x"
"http://lexvo.org/id/iso639-3/ane","ane","Xârâcùù"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11931819b"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11931841h"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11932889r"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11933145f"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119336256"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119339867"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11934463f"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119344952"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11934786x"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11934798x"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11935375d"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119361486"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11936161d"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119362234"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11936326f"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11936442z"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11936549n"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119375503"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11938827n"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11939659z"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11940030m"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119410943"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11942581c"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11945860z"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11946662b"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11948031w"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119511608"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11951701d"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119519191"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11952208p"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11953067w"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11955218q"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11955477s"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11957099g"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11958119h"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11958962v"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119591110"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119591726"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb119596539"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11961551m"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11963511v"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11963568t"
"http://lexvo.org/id/iso639-3/ane","ane","http://data.bnf.fr/ark:/12148/cb11963612g"
